
##############
# h_nominal # 
##############

#Time 	total case
30	2306.806220613209
31	2018.1669975772093
32	1782.126668954923
33	1585.004431409805
34	1415.408449107039
35	1263.8924595562057
36	1126.7213930799408
37	1003.6696580435528
38	893.9392530100667
39	796.3654891473707
40	709.5702347714323
41	632.2560601066652
42	563.348836328456
43	501.9319447209273
44	447.2015356523916
45	398.43669764630613
46	354.9881573692328
47	316.275391947318
48	281.78131347590534
49	251.04590567386913
50	223.6596691767336
51	199.25773961326922
52	177.51493410317198
53	158.1414506385554
54	140.87905611698807
55	125.49766664332128
56	111.79227972237277
57	99.58023664096254
58	88.6987848936842
59	79.00290857093205
END

##############
# h_k_15.0 # 
##############

#Time 	total case
-1	3.9376867651957914e-10
1	254.95124999995087
2	189.51416149912154
3	209.3664330293808
4	225.64524863710403
5	238.9938222370332
6	275.7673514754438
7	325.54751974077976
8	376.7749809932027
9	427.3129396191812
10	475.7469398333319
11	534.7384599178786
12	609.2027872943768
13	697.1058644333034
14	795.6580151377675
15	901.829286320055
16	1019.7697774065418
17	1123.1860761663665
18	1256.9530682013828
19	1410.8052813659506
20	1584.5632905034763
21	1778.7277492405956
22	1946.494675117725
23	2089.5070777337132
24	2205.721001720496
25	2289.7839646162793
26	2332.732631561219
27	2428.7584134581302
28	2410.6969349525352
29	2312.647655815941
30	2130.685096343608
31	1864.0765553711535
32	1646.1010834004046
33	1464.0556526505752
34	1307.4163531296726
35	1167.46683711667
36	1040.765862779408
37	927.1076658961174
38	825.7542857803055
39	735.6291123589981
40	655.4588947766097
41	584.0453620900516
42	520.3966022526656
43	463.66611387241574
44	413.1114924625799
45	368.066908221037
46	327.9326933570701
47	292.1726812842826
48	260.3092939504495
49	231.91766225581523
50	206.61957141613675
51	184.078028935357
52	163.99269031890435
53	146.09588752935815
54	130.14910856666393
55	115.93983926065266
56	103.2787300472919
57	91.99706769082695
58	81.94452411364182
59	72.98715268462547
END

##############
# h_k_24.0 # 
##############

#Time 	total case
-1	3.9376867651957914e-10
1	299.9220000002025
2	203.90479767694023
3	221.1667460474295
4	235.32149343054357
5	246.92832791543742
6	292.3764217212283
7	337.54366123056593
8	382.8526768064162
9	426.786322377362
10	468.3690448163138
11	524.2473144761866
12	591.7070906418162
13	668.7247104404905
14	752.9127875179638
15	841.845743063428
16	941.5095819484768
17	1010.7919620740122
18	1109.6734014426256
19	1221.9467142796038
20	1346.8719213198656
21	1485.0824052752196
22	1599.423226360277
23	1691.1309709870584
24	1758.1695473744367
25	1795.9088358216795
26	1797.4966200972049
27	1894.8731125136692
28	1880.576496175032
29	1803.3875594783858
30	1660.9915888650394
31	1453.1411903260887
