
##############
# h_nominal # 
##############

#Time 	total case
118	2.274390823
119	2.06954153081
END

##############
# h_beta_0.03525 # 
##############

#Time 	total case
-1	3.9376867652e-10
1	184.445
2	206.530300243
3	167.502959428
4	147.485292955
5	143.420161076
6	175.331130669
7	319.345729957
8	201.543567237
9	231.460797206
10	271.864646413
11	326.748699699
12	146.248504617
13	268.250019611
14	475.748800447
15	459.265342997
16	397.450317817
17	413.047811024
18	589.372817943
19	502.023421612
20	435.310965109
21	745.413653393
22	780.305017295
23	1121.67974449
24	1173.94212476
25	1070.92279241
26	713.001786301
27	936.404640565
28	1177.14311163
29	1429.25551501
30	1065.96148629
31	972.189544283
32	629.305243337
33	400.800398321
34	576.824696278
35	594.761174331
36	587.647280339
37	468.423994593
38	382.856503294
39	306.165996861
40	256.363344588
41	236.37252316
42	215.211515351
43	194.541821341
44	175.422410789
45	158.349048255
46	143.284252007
47	129.744079635
48	117.458196277
49	106.284785021
50	96.1452429437
51	86.974046294
52	78.6847457141
53	71.1891711627
54	64.4068127427
55	58.2677336468
56	52.7113755023
57	47.6832117965
58	43.1334208397
59	39.0164836166
60	35.2910668224
61	31.9198452584
62	28.8691244263
63	26.108445285
64	23.6102397541
65	21.3495468894
66	19.3037733081
67	17.4524749966
68	15.7771549486
69	14.2610770566
70	12.8890972591
71	11.6475116102
72	10.5239193943
73	9.50709938048
74	8.58689774765
75	7.7541265455
76	7.00047177641
77	6.31841024315
78	5.70113432336
79	5.14248390422
80	4.63688479487
81	4.17929299377
82	3.76514425132
83	3.39030843654
84	3.05104823908
85	2.74398180327
86	2.46604891944
87	2.21448042344
88	1.98677051473
89	1.78065170385
90	1.59407214341
91	1.42517511798
92	1.27228047773
93	1.13386785084
94	1.00856143834
95	0.895116269301
96	0.79240575173
97	0.699410413115
98	0.61520771504
99	0.538962828574
100	0.469920297761
101	0.407396484658
102	0.350772740472
103	0.299489226101
104	0.253039316733
105	0.210964541679
106	0.172850004888
107	0.138320239112
108	0.107035461002
109	0.0786881709028
110	0.0530000861218
111	0.0297193648112
112	0.00861808653281
113	-0.0105100176443
114	-0.0278516258659
115	-0.0435756894258
116	-0.0578351172408
117	-0.0707682988104
118	-0.0825004885446
119	-0.093145052906
END

##############
# h_gamma_1.25e-05 # 
##############

#Time 	total case
-1	3.9376867652e-10
1	184.445
2	245.948734796
3	206.260418217
4	185.649320147
5	183.188939448
6	226.208932345
7	440.11327354
8	293.651348806
9	351.66047004
10	426.754859098
11	526.285017953
12	245.127476721
13	466.816465981
14	860.561751263
15	864.242268577
16	775.583025761
17	835.898360281
18	1239.23598928
19	1097.84477905
20	987.083201218
21	1748.17107667
22	1895.80841011
23	2822.50229422
24	3062.37997354
25	2898.26423585
26	2000.17092719
27	2710.44754591
28	3508.53459712
29	4377.90810137
30	3355.21625489
31	3138.43216155
32	2077.86176059
33	1358.08656939
34	2003.8132625
35	2115.84465267
36	2141.35746467
37	1748.24491409
38	1466.43550925
39	1206.74384639
40	1038.71087965
41	982.438952698
42	915.455427242
43	846.23156501
44	780.627655755
45	721.472198025
46	668.886598226
47	620.557333566
48	575.424788003
49	533.188473044
50	493.871999856
51	457.505456168
52	423.896775951
53	392.793290146
